Año;Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la infromación facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
2024;45371;Hombre;España;Madrid;Residente;Residente;;10;;10;NS/NC;;Los había visto anteriormente;;10;10;9;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;9;10;+65;;Residente;10;9;10;10;PIT de CentroCentro;Residente;10;9
2024;45371;Hombre;Polonia;;Sólo;3 noches;;8;esmadrid;8;8;;Los ha encontrado en su recorrido;;8;8;8;8;8;7;7;8;8;Sí;NS/NC;NS/NC;8;;8;Internet/web (Indicar páginas);5;8;25-44;;Familia;8;8;NS/NC;7;PIT del Aeropuerto T-2;Avión;8;NS/NC
2024;45371;Mujer;Reino Unido;;En pareja;De 4 a 7 noches;;10;turismo;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;9;9;10;;10;Internet/web (Indicar páginas);9;10;45-64;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Avión;10;NS/NC
2024;45371;Mujer;España;Madrid;Sólo;Residente;;1;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;6;8;4;Sí;1;4;10;;10;No ha buscado información;4;10;45-64;;Residente;10;10;1;4;PIT del Aeropuerto T-4;Residente;10;6
2024;45371;Mujer;España;Madrid;Sólo;Residente;;7;;10;10;;Los ha encontrado en su recorrido;;8;10;10;10;8;8;10;10;9;No;10;9;9;;9;No ha buscado información;2;9;45-64;;Residente;10;9;9;8;PIT Palacio Real;Residente;10;9
2024;45371;Mujer;Argentina;;En pareja;3 noches;;6;redes sociales;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;9;9;6;10;10;9;10;Sí;10;10;9;;9;Internet/web (Indicar páginas);2;9;25-44;;Compras;7;9;10;10;Centro de Turismo de la Plaza Mayor;Avión;6;10
2024;45371;Mujer;Grecia;;Con amigos;De 4 a 7 noches;;8;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;8;10
2024;45371;Mujer;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;6;10;+65;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
2024;45371;Hombre;España;Madrid;Residente;Residente;;5;;10;10;;Los había visto anteriormente;;10;10;10;10;5;5;10;9;10;Sí;NS/NC;NS/NC;10;;NS/NC;No ha buscado información;1;10;45-64;;Residente;10;10;NS/NC;10;PIT Palacio Real;Residente;NS/NC;10
2024;45371;Hombre;España;Madrid;Residente;Residente;;6;;10;10;;Los había visto anteriormente;;10;10;10;10;10;9;10;10;10;Sí;NS/NC;8;10;;9;No ha buscado información;1;10;45-64;;Residente;10;10;NS/NC;10;PIT del Paseo del Prado;Residente;10;NS/NC
2024;45371;Hombre;España;Barcelona;En familia;2 noches;;8;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;8;8;8;10;10;Sí;8;8;10;;10;No ha buscado información;2;10;25-44;;Ocio, recreo y vacaciones;10;10;8;9;PIT Palacio Real;Tren;10;8
2024;45371;Mujer;México;;En pareja;De 4 a 7 noches;;10;amigos;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Otros (Indicar);10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Avión;10;10
2024;45371;Hombre;España;Madrid;Residente;Residente;;8;;10;10;;Los había visto anteriormente;;10;10;10;10;10;9;10;10;10;Sí;NS/NC;9;10;;9;No ha buscado información;1;10;45-64;;Residente;10;9;NS/NC;10;PIT del Paseo del Prado;Residente;10;NS/NC
2024;45371;Hombre;Italia;;En pareja;De 4 a 7 noches;;3;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;7;8;8;8;8;Sí;8;7;8;;8;Guías turísticas publicadas sobre la ciudad;7;2;+65;;Ocio, recreo y vacaciones;9;8;8;8;Centro de Turismo de la Plaza Mayor;Avión;8;8
2024;45371;Mujer;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
