Año;Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la infromación facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
2024;45445;Hombre;España;Granada;En familia;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;25-44;;Ocio, recreo y vacaciones;9;6;6;6;PIT de Estadio Santiago Bernabéu;Autobús;9;6
2024;45452;Mujer;Polonia;;Grupo Organizado;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;PIT de Callao;Avión;9;6
2024;45452;Mujer;Brasil;;En pareja;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;PIT de Callao;Avión;9;6
2024;45452;Mujer;Francia;;En pareja;2 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;PIT de Callao;Avión;9;6
2024;45452;Mujer;España;Madrid;Residente;Residente;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;+65;;Residente;9;6;6;6;PIT de Callao;Residente;9;6
2024;45452;Mujer;Japón;;En pareja;2 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;25-44;;Ocio, recreo y vacaciones;9;6;6;6;PIT de Callao;Avión;9;6
2024;45452;Mujer;Colombia;;En pareja;2 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;25-44;;Ocio, recreo y vacaciones;9;6;6;6;PIT de Callao;Avión;9;6
2024;45452;Mujer;Japón;;En pareja;2 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;PIT Palacio Real;Avión;9;6
2024;45452;Hombre;Portugal;;En familia;2 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;25-44;;Ocio, recreo y vacaciones;9;6;6;6;PIT Palacio Real;Avión;9;6
2024;45457;Mujer;Colombia;;En familia;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45457;Mujer;España;Las Palmas;En familia;De 4 a 7 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;15-24;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45457;Hombre;Italia;;En familia;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;25-44;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Mujer;Reino Unido;;Con amigos;De 4 a 7 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Hombre;Argentina;;Con amigos;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Mujer;Colombia;;En familia;De 4 a 7 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Hombre;Estados Unidos;;En familia;2 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;6;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Hombre;China;;En familia;De 4 a 7 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Mujer;Estados Unidos;;Sólo;2 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Mujer;India;;En pareja;2 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Hombre;España;Huesca;En pareja;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Tren;9;6
2024;45459;Mujer;Reino Unido;;En pareja;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;45-64;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45459;Mujer;Irlanda;;En familia;3 noches;;6;;9;9;;Los había visto anteriormente;;9;9;9;9;6;6;6;9;6;Sí;6;6;6;;6;No ha buscado información;6;6;25-44;;Ocio, recreo y vacaciones;9;6;6;6;Centro de Turismo de la Plaza Mayor;Avión;9;6
2024;45462;Hombre;Portugal;;Sólo;3 noches;;8;;9;9;;Los había visto anteriormente;;10;9;10;10;8;8;10;9;8;Sí;8;9;8;;10;Guías turísticas publicadas sobre la ciudad;7;8;25-44;;Ocio, recreo y vacaciones;9;8;8;9;PIT del Aeropuerto T-2;Avión;10;8
2024;45462;Hombre;Francia;;En pareja;De 4 a 7 noches;;8;;8;10;;Los había visto anteriormente;;9;9;9;9;8;8;8;8;9;Sí;7;9;8;;9;No ha buscado información;8;6;45-64;;Ocio, recreo y vacaciones;9;8;8;9;PIT del Aeropuerto T-4;Avión;10;9
2024;45462;Hombre;España;Madrid;Sólo;Residente;;9;;9;NS/NC;;Los había visto anteriormente;;10;9;10;10;9;8;9;9;9;Sí;8;9;10;;9;No ha buscado información;7;10;25-44;;Residente;9;10;8;9;PIT del Aeropuerto T-4;Avión;10;9
2024;45462;Hombre;Francia;;Sólo;3 noches;;9;esmadrid;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;9;10;Sí;8;10;NS/NC;;10;Guías turísticas publicadas sobre la ciudad;10;1;45-64;;Cultura;10;NS/NC;NS/NC;10;Centro de Turismo de la Plaza Mayor;Avión;10;8
2024;45462;Mujer;Israel;;En familia;De 4 a 7 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;8;10;Sí;10;10;NS/NC;;10;No ha buscado información;10;1;45-64;;Ocio, recreo y vacaciones;10;NS/NC;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
2024;45462;Mujer;España;Barcelona;Sólo;3 noches;;8;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;9;8;9;9;9;Sí;8;9;10;;10;No ha buscado información;8;9;45-64;;Familia;10;10;9;9;PIT de Atocha;Avión;10;10
2024;45462;Mujer;España;Madrid;En pareja;Residente;;10;pagina de turismo;10;NS/NC;;Tenía información previa de su ubicación;;10;10;10;10;10;7;9;9;10;Sí;8;8;10;;10;Internet/web (Indicar páginas);6;10;25-44;Sabía algunos como Moyano, plaza mayor etc;Ocio, recreo y vacaciones;10;9;8;9;PIT Cuesta de Moyano;Residente;10;8
2024;45462;Mujer;Francia;;En pareja;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;+65;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
2024;45462;Mujer;Estados Unidos;;Con amigos;De 4 a 7 noches;;9;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;9;9;10;Sí;9;8;8;;8;No ha buscado información;7;9;45-64;;Ocio, recreo y vacaciones;10;8;9;9;PIT del Paseo del Prado;Avión;10;8
2024;45462;Hombre;Australia;;En pareja;De 1 a 2 semanas;;8;Páginas web;8;8;;Los ha encontrado en su recorrido;;8;8;8;8;8;8;8;8;8;Sí;8;8;8;;8;Guías turísticas publicadas sobre la ciudad;8;8;45-64;;Ocio, recreo y vacaciones;8;8;8;8;PIT del Paseo del Prado;Avión;8;8
2024;45462;Mujer;República Checa;;En familia;De 4 a 7 noches;;8;;9;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;NS/NC;;10;No ha buscado información;10;1;25-44;;Ocio, recreo y vacaciones;10;NS/NC;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
2024;45462;Mujer;Estados Unidos;;En familia;3 noches;;8;tripadvisor;9;8;;Los ha encontrado en su recorrido;;9;9;9;9;9;9;8;9;9;Sí;9;9;8;;9;Internet/web (Indicar páginas);9;8;45-64;;Ocio, recreo y vacaciones;8;8;8;9;Centro de Turismo de la Plaza Mayor;Avión;9;9
2024;45462;Mujer;México;;Con amigos;3 noches;;9;;9;10;;Los había visto anteriormente;;9;9;9;9;9;9;10;9;9;Sí;10;7;9;;9;No ha buscado información;8;9;25-44;;Ocio, recreo y vacaciones;9;9;10;9;PIT del Paseo del Prado;Tren;9;10
2024;45462;Mujer;España;Zaragoza;En pareja;De 4 a 7 noches;;4;esmadrid.com;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;8;8;10;8;10;Sí;NS/NC;NS/NC;NS/NC;;10;Internet/web (Indicar páginas);6;10;45-64;;Ocio, recreo y vacaciones;10;10;NS/NC;10;;Tren;10;8
2024;45462;Mujer;España;Vizcaya;Con amigos;3 noches;;9;;10;10;;Los ha encontrado en su recorrido;;10;10;10;9;10;9;9;10;10;Sí;9;9;9;;9;No ha buscado información;9;10;25-44;;Ocio, recreo y vacaciones;10;9;9;9;PIT del Paseo del Prado;Tren;10;9
2024;45462;Hombre;India;;En pareja;De 1 a 2 semanas;;9;web turismo;9;9;;Los ha encontrado en su recorrido;;9;9;9;9;9;9;9;9;9;Sí;9;9;9;;9;Internet/web (Indicar páginas);5;9;25-44;;Negocios;9;9;9;9;PIT del Paseo del Prado;Avión;9;9
2024;45462;Mujer;España;Barcelona;En pareja;2 noches;;10;;10;9;;Los ha encontrado en su recorrido;;9;10;10;9;10;10;3;9;10;Sí;9;9;8;;10;No ha buscado información;10;9;25-44;;Ocio, recreo y vacaciones;10;9;10;10;PIT del Paseo del Prado;Autobús;10;10
2024;45462;Hombre;España;Madrid;Residente;Residente;;8;;9;NS/NC;;Los había visto anteriormente;;10;10;10;10;9;8;9;8;10;Sí;8;9;8;;10;No ha buscado información;7;8;25-44;;Residente;10;8;9;9;PIT de CentroCentro;Avión;10;9
2024;45462;Mujer;Estados Unidos;;En pareja;2 noches;;7;booking.com;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;10;10;10;Sí;NS/NC;NS/NC;NS/NC;;10;Internet/web (Indicar páginas);9;10;45-64;;Ocio, recreo y vacaciones;10;NS/NC;NS/NC;9;PIT de Recoletos-Colón;Avión;10;8
2024;45462;Mujer;Brasil;;En pareja;2 noches;;10;paginas en general;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;8;10;;10;Guías turísticas publicadas sobre la ciudad;7;8;25-44;;Ocio, recreo y vacaciones;10;10;10;10;PIT Cuesta de Moyano;Avión;10;9
2024;45462;Mujer;España;;En pareja;De 4 a 7 noches;;10;distintas paginas;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT Cuesta de Moyano;Avión;10;10
2024;45462;Mujer;España;Málaga;Con amigos;2 noches;;9;;9;9;;Los ha encontrado en su recorrido;;9;9;9;9;9;9;9;9;9;Sí;9;9;9;;9;No ha buscado información;6;10;+65;;Ocio, recreo y vacaciones;9;9;9;9;PIT Cuesta de Moyano;Tren;9;9
2024;45462;Mujer;Estados Unidos;;Con amigos;De 1 a 2 semanas;;10;ESMADRID;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;8;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Avión;10;10
2024;45462;Mujer;Francia;;En pareja;3 noches;;8;;8;NS/NC;;Los ha encontrado en su recorrido;;8;8;8;8;9;8;9;9;9;Sí;9;9;9;;9;No ha buscado información;8;9;45-64;;Ocio, recreo y vacaciones;8;9;9;8;Centro de Turismo de la Plaza Mayor;Avión;9;9
2024;45462;Mujer;España;Valencia;Sólo;De 4 a 7 noches;;10;youtube;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);9;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;PIT Cuesta de Moyano;Tren;10;10
2024;45462;Hombre;España;Madrid;Residente;Residente;;8;;9;NS/NC;;Los había visto anteriormente;;9;9;9;9;8;9;9;9;9;Sí;9;9;8;;9;No ha buscado información;9;9;+65;;Residente;9;8;9;9;Centro de Turismo de la Plaza Mayor;Residente;9;9
2024;45462;Mujer;España;Madrid;Residente;Residente;;8;;9;NS/NC;;Los había visto anteriormente;;9;9;9;9;8;9;9;9;9;Sí;9;9;8;;9;No ha buscado información;9;9;45-64;;Residente;9;8;9;9;Centro de Turismo de la Plaza Mayor;Residente;9;9
2024;45462;Mujer;España;Valladolid;En pareja;3 noches;;7;;8;10;;Los ha encontrado en su recorrido;;8;8;9;10;10;8;10;9;10;Sí;NS/NC;NS/NC;9;;8;No ha buscado información;NS/NC;9;25-44;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Callao;Tren;10;NS/NC
2024;45462;Mujer;España;Alicante;Sólo;3 noches;;8;;9;10;;Los había visto anteriormente;;10;10;10;10;8;8;8;9;8;Sí;8;9;8;;9;Guías turísticas publicadas sobre la ciudad;6;10;45-64;;Ocio, recreo y vacaciones;10;9;9;9;PIT del Aeropuerto T-4;Avión;10;9
2024;45462;Hombre;España;León;En pareja;3 noches;;10;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;7;10;9;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;1;10;+65;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT Palacio Real;Tren;NS/NC;10
2024;45462;Mujer;Portugal;;En pareja;De 4 a 7 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;;NS/NC;NS/NC;10;10;NS/NC;NS/NC;NS/NC;10;Sí;NS/NC;NS/NC;NS/NC;;10;Teléfono;NS/NC;NS/NC;45-64;;Ocio, recreo y vacaciones;;NS/NC;NS/NC;NS/NC;;Avión;NS/NC;10
2024;45462;Mujer;España;Guipúzcoa;En familia;De 4 a 7 noches;;10;;10;10;;Otros;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;15-24;esmadrid.com;Estudios;10;10;10;10;PIT del Paseo del Prado;Tren;10;10
2024;45462;Mujer;España;Tarragona;En pareja;2 noches;;8;;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;9;9;9;9;Sí;9;9;9;;9;No ha buscado información;8;9;45-64;;Ocio, recreo y vacaciones;9;9;9;9;Centro de Turismo de la Plaza Mayor;Tren;9;9
2024;45462;Mujer;Francia;;En pareja;3 noches;;8;esmadrid.com;8;8;;Los ha encontrado en su recorrido;;10;10;8;9;8;10;10;8;8;Sí;NS/NC;8;8;;8;Internet/web (Indicar páginas);NS/NC;8;45-64;;Ocio, recreo y vacaciones;8;8;NS/NC;NS/NC;PIT de Callao;Avión;9;8
2024;45462;Hombre;España;Toledo;Sólo;De 4 a 7 noches;;NS/NC;;10;NS/NC;;Los ha encontrado en su recorrido;;10;NS/NC;10;10;NS/NC;NS/NC;10;10;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;7;10;25-44;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT de Callao;Autobús;NS/NC;10
2024;45462;Mujer;España;Madrid;Residente;Residente;;10;;NS/NC;10;;Los había visto anteriormente;;10;10;10;10;10;8;8;10;10;Sí;8;8;8;;8;No ha buscado información;8;NS/NC;+65;;Residente;10;10;8;8;PIT Cuesta de Moyano;Autobús;10;8
2024;45462;Mujer;España;Soria;En familia;De 4 a 7 noches;;8;Television, noticias aniversario rey;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;8;10;10;9;10;Sí;NS/NC;NS/NC;8;;10;Otros (Indicar);3;10;+65;;Familia;10;8;NS/NC;10;PIT Palacio Real;Autobús;NS/NC;10
2024;45462;Mujer;España;Valencia;En pareja;3 noches;;8;;8;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;7;9;9;9;8;Sí;9;9;9;;9;No ha buscado información;9;9;45-64;;Ocio, recreo y vacaciones;9;9;9;9;Centro de Turismo de la Plaza Mayor;Tren;9;9
2024;45462;Hombre;España;Madrid;Sólo;Residente;;7;;7;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;NS/NC;No ha buscado información;10;10;15-24;;Cultura;10;10;10;10;PIT Palacio Real;Residente;10;7
2024;45462;Mujer;España;Madrid;Residente;Residente;;7;;NS/NC;NS/NC;;Los había visto anteriormente;;8;NS/NC;10;10;7;10;10;7;7;Sí;NS/NC;NS/NC;7;;10;No ha buscado información;8;NS/NC;25-44;;Residente;10;7;NS/NC;10;PIT de Callao;Residente;NS/NC;10
2024;45462;Mujer;España;Madrid;Sólo;Residente;;8;;8;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;9;10;Sí;8;10;10;;NS/NC;No ha buscado información;10;10;25-44;;Cultura;10;10;10;10;PIT Palacio Real;Residente;10;6
2024;45462;Hombre;España;Álava;En pareja;2 noches;;9;amigos;9;9;;Los ha encontrado en su recorrido;Rey León;10;10;10;9;9;7;7;9;9;Sí;8;8;9;;9;Otros (Indicar);5;9;45-64;;Ver un espectáculo en particular (Indicar cuál);10;9;9;9;PIT del Paseo del Prado;Coche particular;9;9
2024;45462;Hombre;España;Madrid;Residente;Residente;;10;;9;NS/NC;;Los ha encontrado en su recorrido;;10;9;9;9;9;10;10;8;10;Sí;NS/NC;NS/NC;9;;8;No ha buscado información;10;10;25-44;;Residente;9;9;NS/NC;10;PIT de Callao;Residente;10;10
2024;45462;Mujer;Estados Unidos;;En pareja;De 1 a 3 meses;;10;Amigos;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;NS/NC;NS/NC;10;;10;Otros (Indicar);4;10;45-64;;Cultura;10;10;NS/NC;10;PIT Palacio Real;Avión;NS/NC;9
2024;45462;Mujer;Argentina;;En familia;De 1 a 2 semanas;;8;;10;8;;Los había visto anteriormente;;10;10;10;10;8;NS/NC;10;9;10;Sí;NS/NC;NS/NC;10;;10;Guías turísticas publicadas sobre la ciudad;5;10;+65;;Cultura;10;10;NS/NC;10;PIT de Callao;Avión;NS/NC;10
2024;45462;Mujer;España;Burgos;En familia;3 noches;;8;;10;NS/NC;;Los había visto anteriormente;Musical Tina Turner;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Ver un espectáculo en particular (Indicar cuál);10;10;10;10;Centro de Turismo de la Plaza Mayor;Autobús;10;9
2024;45462;Mujer;Estados Unidos;;En pareja;De 2 semanas a 1 mes;;10;tripadvisor;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;9;10;10;Sí;9;9;10;;10;Internet/web (Indicar páginas);9;10;45-64;;Ocio, recreo y vacaciones;10;10;9;9;PIT de CentroCentro;Avión;10;9
2024;45462;Mujer;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Residente;10;10;10;10;PIT de CentroCentro;Residente;10;10
2024;45462;Hombre;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;3;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT del Paseo del Prado;Residente;10;10
2024;45462;Mujer;España;Madrid;Residente;Residente;;10;;10;NS/NC;;Los había visto anteriormente;;10;NS/NC;10;10;10;9;10;8;10;Sí;NS/NC;NS/NC;5;;10;No ha buscado información;2;7;25-44;;Residente;10;1;NS/NC;10;PIT Cuesta de Moyano;Residente;NS/NC;10
2024;45462;Mujer;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;NS/NC;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
2024;45462;Hombre;España;Madrid;Residente;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Residente;10;10;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
2024;45462;Hombre;España;Barcelona;Con amigos;3 noches;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Teléfono;10;10;25-44;;Familia;10;10;10;10;Centro de Turismo de la Plaza Mayor;Tren;10;10
2024;45462;Hombre;España;Murcia;En pareja;3 noches;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Autobús;10;10
2024;45462;Mujer;Italia;;En familia;3 noches;;8;google;9;NS/NC;;Los ha encontrado en su recorrido;;10;9;10;10;9;6;10;9;10;Sí;5;10;NS/NC;;10;Internet/web (Indicar páginas);8;1;25-44;;Ocio, recreo y vacaciones;9;NS/NC;6;10;PIT del Aeropuerto T-4;Avión;10;10
2024;45462;Hombre;Argentina;;En familia;De 4 a 7 noches;;8;google;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;8;8;10;9;10;Sí;5;10;9;;9;Internet/web (Indicar páginas);9;7;25-44;;Ocio, recreo y vacaciones;10;9;7;10;PIT del Aeropuerto T-4;Avión;10;10
2024;45462;Hombre;España;Madrid;Residente;Residente;;10;;9;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;8;9;9;10;Sí;4;9;NS/NC;;NS/NC;No ha buscado información;9;7;45-64;;Residente;10;NS/NC;8;10;PIT de CentroCentro;Residente;10;10
2024;45462;Mujer;Uruguay;;En pareja;3 noches;;10;;10;9;;Los ha encontrado en su recorrido;;9;9;9;9;10;10;10;9;10;Sí;10;10;10;;10;No ha buscado información;10;9;45-64;;Ocio, recreo y vacaciones;9;10;10;10;PIT de CentroCentro;Coche particular;9;10
2024;45462;Mujer;España;Toledo;En familia;Excursionista;;5;;NS/NC;NS/NC;;Los había visto anteriormente;;10;10;10;10;6;9;10;9;6;Sí;8;10;NS/NC;;10;No ha buscado información;2;NS/NC;45-64;;Tránsito;10;NS/NC;8;7;PIT del Aeropuerto T-2;Avión;10;5
2024;45462;Hombre;España;Madrid;Residente;Residente;;2;;7;9;;Los había visto anteriormente;;7;8;8;8;7;8;7;8;8;Sí;7;8;7;;7;No ha buscado información;8;8;45-64;;Residente;8;7;7;8;PIT Palacio Real;Residente;8;8
2024;45462;Mujer;España;Madrid;Con amigos;Residente;;5;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;8;8;10;Sí;NS/NC;NS/NC;10;;10;No ha buscado información;8;NS/NC;15-24;;Residente;10;10;NS/NC;10;PIT de Atocha;Residente;10;8
2024;45462;Mujer;España;Madrid;Residente;Residente;;8;;9;NS/NC;;Los había visto anteriormente;;10;10;10;10;9;8;10;9;10;Sí;7;10;8;;NS/NC;No ha buscado información;7;5;45-64;;Residente;10;9;9;10;PIT del Aeropuerto T-4;Residente;10;9
2024;45462;Hombre;España;Albacete;Sólo;2 noches;;9;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;9;10;Sí;10;10;10;;10;No ha buscado información;10;10;25-44;;Negocios;10;10;10;10;Centro de Turismo de la Plaza Mayor;Tren;10;8
2024;45462;Hombre;Costa Rica;;Grupo Organizado;3 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;Fútbol;10;10;10;10;10;10;10;10;NS/NC;Sí;10;10;NS/NC;;10;No ha buscado información;10;NS/NC;45-64;;Ver un espectáculo en particular (Indicar cuál);10;NS/NC;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
2024;45462;Mujer;España;Madrid;Residente;Residente;;10;;NS/NC;NS/NC;;Los había visto anteriormente;;10;10;8;8;10;10;10;10;10;Sí;10;10;NS/NC;;NS/NC;No ha buscado información;8;10;+65;;Residente;10;NS/NC;10;10;Centro de Turismo de la Plaza Mayor;Residente;10;10
